time_iso8601,stars_cumulative
2022-11-02 00:00:00+00:00,1336
2022-11-03 00:00:00+00:00,1338
2022-11-04 00:00:00+00:00,1341
2022-11-06 00:00:00+00:00,1345
2022-11-07 00:00:00+00:00,1350
2022-11-08 00:00:00+00:00,1352
2022-11-09 00:00:00+00:00,1354
2022-11-10 00:00:00+00:00,1356
2022-11-11 00:00:00+00:00,1360
2022-11-12 00:00:00+00:00,1361
2022-11-13 00:00:00+00:00,1367
2022-11-14 00:00:00+00:00,1368
2022-11-15 00:00:00+00:00,1370
2022-11-16 00:00:00+00:00,1371
2022-11-17 00:00:00+00:00,1376
2022-11-18 00:00:00+00:00,1379
2022-11-19 00:00:00+00:00,1380
2022-11-20 00:00:00+00:00,1382
2022-11-21 00:00:00+00:00,1385
2022-11-22 00:00:00+00:00,1386
2022-11-23 00:00:00+00:00,1389
2022-11-24 00:00:00+00:00,1391
2022-11-25 00:00:00+00:00,1395
2022-11-26 00:00:00+00:00,1396
2022-11-28 00:00:00+00:00,1399
2022-11-29 00:00:00+00:00,1400
2022-11-30 00:00:00+00:00,1401
2022-12-01 00:00:00+00:00,1403
2022-12-02 00:00:00+00:00,1405
2022-12-03 00:00:00+00:00,1406
2022-12-04 00:00:00+00:00,1409
2022-12-05 00:00:00+00:00,1414
2022-12-06 00:00:00+00:00,1418
2022-12-07 00:00:00+00:00,1420
2022-12-08 00:00:00+00:00,1424
2022-12-09 00:00:00+00:00,1426
2022-12-10 00:00:00+00:00,1429
2022-12-11 00:00:00+00:00,1433
2022-12-12 00:00:00+00:00,1435
2022-12-13 00:00:00+00:00,1437
2022-12-14 00:00:00+00:00,1440
2022-12-16 00:00:00+00:00,1442
2022-12-17 00:00:00+00:00,1443
2022-12-20 00:00:00+00:00,1446
2022-12-21 00:00:00+00:00,1448
2022-12-22 00:00:00+00:00,1451
2022-12-23 00:00:00+00:00,1452
2022-12-24 00:00:00+00:00,1454
2022-12-26 00:00:00+00:00,1457
